id,application_date,segment,case_count
1,2019-07-06,1,2535.947285105369
2,2019-07-07,1,1513.0641218976164
3,2019-07-08,1,3544.3400559131264
4,2019-07-09,1,3349.262450302993
5,2019-07-10,1,3413.0021093241016
6,2019-07-11,1,3379.239919446231
7,2019-07-12,1,3428.9826872274557
8,2019-07-13,1,2555.8876991624106
9,2019-07-14,1,1562.1954915814217
10,2019-07-15,1,3624.5626912852194
11,2019-07-16,1,3306.4632240836536
12,2019-07-17,1,3397.217282365255
13,2019-07-18,1,3393.4270814670217
14,2019-07-19,1,3319.4083468456365
15,2019-07-20,1,2486.5687740081808
16,2019-07-21,1,1551.6300361238916
17,2019-07-22,1,3486.208928218295
18,2019-07-23,1,3333.909240957623
19,2019-07-24,1,3323.531495999809
20,2019-07-25,1,3322.238128622963
21,2019-07-26,1,3435.409814476433
22,2019-07-27,1,2477.9806413238152
23,2019-07-28,1,1557.5571454576743
24,2019-07-29,1,3602.4459040065394
25,2019-07-30,1,3382.3488903733437
26,2019-07-31,1,3466.5690802259533
27,2019-08-01,1,1597.7874366594965
28,2019-08-02,1,2030.9312462482865
29,2019-08-03,1,2409.743283024171
30,2019-08-04,1,1533.8306390221799
31,2019-08-05,1,3547.7388557133836
32,2019-08-06,1,3344.008624029916
33,2019-08-07,1,3370.836588859716
34,2019-08-08,1,3349.5545724705707
35,2019-08-09,1,3423.364583684573
36,2019-08-10,1,2506.7059686882794
37,2019-08-11,1,1510.0725188747733
38,2019-08-12,1,3576.935087776573
39,2019-08-13,1,3314.8075272962687
40,2019-08-14,1,3454.7934383839615
41,2019-08-15,1,3405.7514532658574
42,2019-08-16,1,3426.234746427176
43,2019-08-17,1,2519.1569826250256
44,2019-08-18,1,1543.1341061595415
45,2019-08-19,1,3597.2170096541086
46,2019-08-20,1,3449.5810087815726
47,2019-08-21,1,3394.733392365701
48,2019-08-22,1,3370.9343796828252
49,2019-08-23,1,3319.8219357557005
50,2019-08-24,1,2521.1777187170064
51,2019-08-25,1,1517.1175045688767
52,2019-08-26,1,3601.4636594035587
53,2019-08-27,1,3395.1235381893657
54,2019-08-28,1,3375.6181560674863
55,2019-08-29,1,3448.0432909059764
56,2019-08-30,1,3456.0848029750064
57,2019-08-31,1,2564.005265917657
58,2019-09-01,1,1373.5517507582015
59,2019-09-02,1,2156.521362573772
60,2019-09-03,1,3342.9552729913653
61,2019-09-04,1,3453.047726624639
62,2019-09-05,1,3363.3559592603447
63,2019-09-06,1,3506.428764070962
64,2019-09-07,1,2505.698713825995
65,2019-09-08,1,1538.9652285122957
66,2019-09-09,1,3616.856897506421
67,2019-09-10,1,3457.277897402977
68,2019-09-11,1,3468.3270891133657
69,2019-09-12,1,3506.3584201770705
70,2019-09-13,1,3463.507839650405
71,2019-09-14,1,2566.133135522585
72,2019-09-15,1,1558.390843659835
73,2019-09-16,1,3618.8861865043755
74,2019-09-17,1,3459.7441763697607
75,2019-09-18,1,3413.3696204794137
76,2019-09-19,1,3275.981661353176
77,2019-09-20,1,3256.737146148824
78,2019-09-21,1,2509.282171777053
79,2019-09-22,1,1560.8492214998355
80,2019-09-23,1,3539.916072281218
81,2019-09-24,1,3406.428211788891
82,2019-09-25,1,3335.4685604498054
83,2019-09-26,1,3458.2582628397035
84,2019-09-27,1,3471.272479328773
85,2019-09-28,1,2536.126168095516
86,2019-09-29,1,1530.1390351917541
87,2019-09-30,1,3643.800431837017
88,2019-07-24,2,26619.896947901823
89,2019-07-25,2,26165.15255459451
90,2019-07-26,2,24588.338280686017
91,2019-07-27,2,23546.744489728084
92,2019-07-28,2,13560.667684853992
93,2019-07-29,2,8178.74369226882
94,2019-07-30,2,4058.2012451541145
95,2019-07-31,2,1570.8696782501218
96,2019-08-01,2,4376.019489016965
97,2019-08-02,2,4460.81756498394
98,2019-08-03,2,4306.764837230137
99,2019-08-04,2,3983.967841217779
100,2019-08-05,2,4228.367205100932
101,2019-08-06,2,4364.230587434895
102,2019-08-07,2,4555.093638882275
103,2019-08-08,2,4419.789752364487
104,2019-08-09,2,4405.804034319791
105,2019-08-10,2,4699.017015712284
106,2019-08-11,2,15303.41952708703
107,2019-08-12,2,26286.540485905396
108,2019-08-13,2,27562.090650164766
109,2019-08-14,2,27690.873689636563
110,2019-08-15,2,27916.164280533827
111,2019-08-16,2,28027.282191184113
112,2019-08-17,2,27751.274877332504
113,2019-08-18,2,16035.322892827655
114,2019-08-19,2,27081.94658468627
115,2019-08-20,2,25885.61068070089
116,2019-08-21,2,27610.033888601112
117,2019-08-22,2,28084.6384624051
118,2019-08-23,2,26309.091571102937
119,2019-08-24,2,26340.641564785194
120,2019-08-25,2,14942.101261448168
121,2019-08-26,2,25614.715532111546
122,2019-08-27,2,22802.69863589625
123,2019-08-28,2,18442.373796102853
124,2019-08-29,2,6935.596139565975
125,2019-08-30,2,4966.487264120992
126,2019-08-31,2,1613.5003113697298
127,2019-09-01,2,4372.565753614561
128,2019-09-02,2,4455.766898773174
129,2019-09-03,2,4340.255410072314
130,2019-09-04,2,4391.018959276728
131,2019-09-05,2,4345.966111001588
132,2019-09-06,2,4635.0602121666025
133,2019-09-07,2,4345.104623548577
134,2019-09-08,2,4291.403451265776
135,2019-09-09,2,4603.853296655483
136,2019-09-10,2,4526.256415998507
137,2019-09-11,2,22306.828335165064
138,2019-09-12,2,25862.19736439965
139,2019-09-13,2,28001.817149197865
140,2019-09-14,2,27408.45406417447
141,2019-09-15,2,14974.531866254736
142,2019-09-16,2,27532.159874493726
143,2019-09-17,2,28362.962268612366
144,2019-09-18,2,24743.211594308683
145,2019-09-19,2,28145.65915521843
146,2019-09-20,2,28033.649984468277
147,2019-09-21,2,26624.76883030218
148,2019-09-22,2,15748.674875581451
149,2019-09-23,2,26853.49087891376
150,2019-09-24,2,21106.15410217321
151,2019-09-25,2,22940.21121696153
152,2019-09-26,2,24986.20042235441
153,2019-09-27,2,24240.85402724474
154,2019-09-28,2,9431.113672369915
155,2019-09-29,2,4897.320078121538
156,2019-09-30,2,1663.6344315827057
157,2019-10-01,2,4354.988944821163
158,2019-10-02,2,4553.238423940513
159,2019-10-03,2,4203.677679024951
160,2019-10-04,2,4330.764084370418
161,2019-10-05,2,4329.519975106681
162,2019-10-06,2,4070.144991823835
163,2019-10-07,2,4495.4553464822075
164,2019-10-08,2,4486.783700142632
165,2019-10-09,2,4455.1062306729145
166,2019-10-10,2,4421.279661873473
167,2019-10-11,2,22081.26423086728
168,2019-10-12,2,25922.834824844347
169,2019-10-13,2,15216.060887064983
170,2019-10-14,2,28038.10287135084
171,2019-10-15,2,25627.80264776638
172,2019-10-16,2,26149.03327756268
173,2019-10-17,2,27488.78476827092
174,2019-10-18,2,26474.23429984221
175,2019-10-19,2,25743.480988128944
176,2019-10-20,2,15454.221265000155
177,2019-10-21,2,27245.256486076258
178,2019-10-22,2,28355.499090948564
179,2019-10-23,2,19192.84494833607
180,2019-10-24,2,17047.671263793338
